t1,t2,t3,t4,handedness,age,sex
14.876891406674599,12.619117023702566,9.647108638294421,20.968183047427573,left,17.50830032547712,male
12.758765966810639,14.076360613923532,8.935331291935592,29.44231230106086,left,17.758930050576325,male
12.156069108637489,10.161276161434893,9.441054180409107,24.906194194755113,left,16.572837726771226,female
14.1065384061425,14.632360196123875,12.891099687966733,27.42219362024904,left,18.497799819820788,female
14.26327910031303,13.369960641611366,12.04727714092923,34.54535119465983,left,16.10141149674696,male
13.735898715327503,14.757536187088395,11.887684145668922,28.75538348015126,left,18.10089681104589,male
11.63484081489975,13.848324591844737,9.202996163353056,22.44398148525031,left,18.47203348572041,female
18.731449708158706,14.867136864443983,9.669866043294979,27.448978765112532,left,19.444466703197186,female
11.793350282120626,10.646315610454984,8.224406173670204,21.572874636577417,left,16.317409652466424,male
14.913806237775157,14.540409714629842,10.571764742775906,27.57170742349604,left,17.42647867061985,female
15.558338567081362,13.70930494541783,11.98346345929149,32.102614965673595,left,18.303121639028532,male
15.415612494964876,14.076790035645091,11.831432068361396,19.901562137428833,left,17.26674785260192,female
10.096964838175106,10.733165792849382,8.882091712553851,19.077961492960096,left,16.32485902541156,female
13.983474495824785,14.56467683493458,10.832352469468216,31.852225662487996,left,18.514740076723168,male
15.777697905390541,14.979683093028168,12.177103962852975,27.070526353555007,left,17.104081317259606,male
9.962358350092781,12.536299320193217,10.947503513049497,17.761186193937853,left,17.12466951564404,male
12.702860021214448,14.332512090450306,11.733445317630988,19.84736533658587,left,16.787428384040155,male
13.980672650796523,11.554185662287836,9.218188292866241,22.003123386587156,left,16.180793226867912,female
12.559324025033483,13.03586837484185,8.78150558730303,28.785422789065276,left,18.120382068056635,female
12.152910577804542,13.606369737766391,8.596430431633497,19.988992829159578,left,17.37549323396727,female
16.29958718264967,17.13826446645788,13.713330925731672,35.20956620102308,left,16.911677421860958,male
16.57930914411189,15.194082040869294,10.884564050959016,25.402292502795717,left,16.86515545811877,male
12.883081284886652,12.508772097362444,8.224803681895462,22.138035849340056,right,16.07464507145211,female
14.947153563104306,14.446646794331919,8.662951258970798,20.840052368883374,right,16.92890733656764,male
12.792681588413323,16.171518665004267,12.713971855828543,21.404507389458985,right,18.260669306620052,male
14.47384835101928,10.956064076102292,11.134301336465983,21.130162909659816,right,15.15474148790663,female
15.530166722160837,16.274559223397382,9.57375714056093,22.644703017140714,right,16.486250664669484,female
16.226639730605687,15.00443434895877,11.089640732147169,29.302021982715402,right,14.949014051957562,female
14.528579516230968,10.760966895268474,14.51554057408555,34.13473370913867,right,17.948381745380487,female
16.215010272628277,13.325324779244353,9.437332686694877,23.32686480621929,right,18.47166044317313,female
12.755700501992422,10.959130474810207,11.351548627261824,21.120842236874484,right,17.436907174617556,female
12.452823767059066,11.47333093742413,11.843011698688015,20.59166709241269,right,16.776159728410953,male
13.812007796773804,10.941121210339618,10.86608653632042,20.31601600751821,right,15.876107811970941,male
13.036525612829022,11.289097611665733,6.617968982538237,14.776812475559446,right,15.968524689141564,male
14.740535887590974,12.409508225515392,9.664216234323991,20.468029046312143,right,17.272191697690864,female
17.283273332833737,15.105122267262654,11.215503928167347,29.57942218644568,right,17.171636851442237,female
11.171690237833092,10.979055406943955,6.872690929068153,17.47953489559637,right,18.69423634335328,male
11.707665423872198,14.29500351055036,13.293330644533135,21.94805751894152,right,16.63526248079073,male
15.800475695598548,15.729303303370445,13.435980271353024,31.06895894469089,right,18.233413932452695,female
15.135725835909936,12.719682325472892,10.19603477556395,22.864831961015728,right,17.709374050237162,female
10.827446077637113,13.519563324129084,8.759135920655693,20.95218296216458,right,17.043442992680994,female
13.787916147853318,14.654606227673517,7.203044500745429,17.408373196948887,right,17.333099655198055,female
15.172894959144637,11.436691557678877,12.463730320106077,21.140826614068462,right,17.59175581910331,female
14.698157694022779,13.020496737493259,9.88541736402538,24.323362828894577,right,15.996624135392928,male
